decisionId,temaTnu,consonancia,validade,justificativa
TRF2-LIVE-1,7,CONSONANCIA,VALIDA,Tema 7 selecionado por semelhanca de assunto.
TRF2-LIVE-2,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
TRF2-LIVE-3,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
TRF2-LIVE-4,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
TRF2-LIVE-5,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
TRF2-LIVE-6,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
TRF2-LIVE-7,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
TRF2-LIVE-8,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
TRF2-LIVE-9,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
TRF2-LIVE-10,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,Nenhum tema com palavras-chave em comum.
